Total vulnerabilities: 163
- @cypress/request | high
- @google-cloud/storage | high
- @mapbox/node-pre-gyp | high
- ansi-regex | high
- babel-register | high
- body-parser | high
- boom | high
- boxen | high
- cacache | high
- clipboardy | high
- cross-spawn | high
- decode-uri-component | high
- dot-prop | high
- execa | high
- express | high
- fast-xml-parser | high
- firebase-admin | high
- firebase-tools | high
- fstream | high
- glob | high
- hawk | high
- hoek | high
- http-cache-semantics | high
- http-proxy-agent | high
- inchjs | high
- ini | high
- ip | high
- json5 | high
- jws | high
- libcipm | high
- make-fetch-happen | high
- marked | high
- minimatch | high
- node-forge | high
- node-gyp | high
- npm-lifecycle | high
- npm-profile | high
- npm-registry-client | high
- npm-registry-fetch | high
- npm-user-validate | high
- optimization-js | high
- os-locale | high
- pacote | high
- parse-git-config | high
- preact | high
- qs | high
- semver | high
- shelljs | high
- sntp | high
- socks | high
- socks-proxy-agent | high
- ssri | high
- taffydb | high
- tar | high
- term-size | high
- update-notifier | high
- validator | high
- vega | high
- vega-embed | high
- vega-expression | high
- vega-functions | high
- vega-interpreter | high
- vega-lite | high
- vega-parser | high
- vega-selections | high
- vega-view | high
- y18n | high
- @bdelab/jscat | moderate
- @bdelab/roar-firekit | moderate
- @bdelab/roar-pa | moderate
- @bdelab/roar-sre | moderate
- @bdelab/roar-swr | moderate
- @firebase/auth | moderate
- @firebase/auth-compat | moderate
- @firebase/firestore | moderate
- @firebase/firestore-compat | moderate
- @firebase/functions | moderate
- @firebase/functions-compat | moderate
- @firebase/storage | moderate
- @firebase/storage-compat | moderate
- @grpc/grpc-js | moderate
- @levante-framework/core-tasks | moderate
- @levante-framework/firekit | moderate
- ajv | moderate
- cli-table2 | moderate
- dompurify | moderate
- esbuild | moderate
- eslint | moderate
- extend | moderate
- firebase | moderate
- got | moderate
- har-validator | moderate
- hosted-git-info | moderate
- js-yaml | moderate
- latest-version | moderate
- libnpx | moderate
- mem | moderate
- npm-audit-report | moderate
- package-json | moderate
- request-promise | moderate
- request-promise-core | moderate
- stringstream | moderate
- tough-cookie | moderate
- travis-ci | moderate
- underscore.string | moderate
- undici | moderate
- vite | moderate
- webpack-dev-server | moderate
- yargs | moderate
- yargs-parser | moderate
- bin-links | low
- brace-expansion | low
- browserify-sign | low
- chownr | low
- create-ecdh | low
- crypto-browserify | low
- elliptic | low
- external-editor | low
- inquirer | low
- min-document | low
- node-stdlib-browser | low
- tmp | low
- vite-plugin-node-polyfills | low
- babel-core | critical
- babel-helper-builder-binary-assignment-operator-visitor | critical
- babel-helper-call-delegate | critical
- babel-helper-define-map | critical
- babel-helper-explode-assignable-expression | critical
- babel-helper-function-name | critical
- babel-helper-remap-async-to-generator | critical
- babel-helper-replace-supers | critical
- babel-helpers | critical
- babel-plugin-transform-async-to-generator | critical
- babel-plugin-transform-es2015-block-scoping | critical
- babel-plugin-transform-es2015-classes | critical
- babel-plugin-transform-es2015-computed-properties | critical
- babel-plugin-transform-es2015-function-name | critical
- babel-plugin-transform-es2015-modules-amd | critical
- babel-plugin-transform-es2015-modules-commonjs | critical
- babel-plugin-transform-es2015-modules-systemjs | critical
- babel-plugin-transform-es2015-modules-umd | critical
- babel-plugin-transform-es2015-object-super | critical
- babel-plugin-transform-es2015-parameters | critical
- babel-plugin-transform-exponentiation-operator | critical
- babel-preset-env | critical
- babel-template | critical
- babel-traverse | critical
- cryptiles | critical
- form-data | critical
- happy-dom | critical
- https-proxy-agent | critical
- jsdoc | critical
- json-schema | critical
- jspdf | critical
- jsprim | critical
- lodash | critical
- minimist | critical
- mkdirp | critical
- npm | critical
- optimist | critical
- request | critical
- semantic-release-cli | critical
- underscore | critical
