string,file,suggestedIdentifier,audience
"Back to Dashboard","/home/david/levante/levante-dashboard/src/router/navbarActions.ts","app/navbar-actions.backToDashboard","other"
"Groups","/home/david/levante/levante-dashboard/src/router/navbarActions.ts","app/navbar-actions.groups","other"
"View Assignments","/home/david/levante/levante-dashboard/src/router/navbarActions.ts","app/navbar-actions.viewAssignments","other"
"Create Assignment","/home/david/levante/levante-dashboard/src/router/navbarActions.ts","app/navbar-actions.createAssignment","other"
"Manage Tasks","/home/david/levante/levante-dashboard/src/router/navbarActions.ts","app/navbar-actions.manageTasks","other"
"Enable Third-Party Cookies","/home/david/levante/levante-dashboard/src/pages/EnableCookies.vue","pages/enable-cookies.enableThirdPartyCookies","other"
"We tried to log you in but were unable to do so because the login method that you selected required third-party cookies to be enabled. Please enable third-party cookies and then click below to sign in.","/home/david/levante/levante-dashboard/src/pages/EnableCookies.vue","pages/enable-cookies.weTriedToLogYouInButWereUnableToDoSoBecauseTheLoginMethodThatYouSelectedRequiredThirdPartyCookiesToBeEnabledPleaseEnableThirdPartyCookiesAndThenClickBelowToSignIn","other"
"Log In","/home/david/levante/levante-dashboard/src/pages/EnableCookies.vue","pages/enable-cookies.logIn","other"
"LEVANTE Logo","/home/david/levante/levante-dashboard/src/pages/SignIn.vue","pages/sign-in.levanteLogo","other"
"Error saving survey responses:","/home/david/levante/levante-dashboard/src/helpers/survey.ts","app/survey.errorSavingSurveyResponses","other"
"Error","/home/david/levante/levante-dashboard/src/components/ConsentModal.vue","components/consent-modal.error","other"
"An error occurred while updating the consent status, please try again.","/home/david/levante/levante-dashboard/src/components/ConsentModal.vue","components/consent-modal.anErrorOccurredWhileUpdatingTheConsentStatusPleaseTryAgain","other"
"Help me choose","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.helpMeChoose","other"
"I know what to select","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.iKnowWhatToSelect","other"
"Default Data Collection","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.defaultDataCollection","other"
"Default Data Collection Values","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.defaultDataCollectionValues","other"
"Additional Data Collection","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.additionalDataCollection","other"
"Video Recording","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.videoRecording","other"
"Audio Recording","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.audioRecording","other"
"Eye - Tracking","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.eyeTracking","other"
"Compensation Amount and Expected Time","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.compensationAmountAndExpectedTime","other"
"Payment Amount $$","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.paymentAmount","other"
"Expected Time Amount","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.expectedTimeAmount","other"
"Select a Consent Form","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.selectAConsentForm","other"
"Select an Assent Form","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.selectAnAssentForm","other"
"Consent Amount and Expected Time","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.consentAmountAndExpectedTime","other"
"Suggested Forms","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.suggestedForms","other"
"Name:","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.name","other"
"Current Commit:","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.currentCommit","other"
"GitHub Org:","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.githubOrg","other"
"GitHub Repository:","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.githubRepository","other"
"Last Updated:","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.lastUpdated","other"
"No consent available.","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.noConsentAvailable","other"
"No assent available.","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.noAssentAvailable","other"
"Select Consent and Assent Forms","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.selectConsentAndAssentForms","other"
"fileName","/home/david/levante/levante-dashboard/src/components/ConsentPicker.vue","components/consent-picker.filename","other"
